#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Anchored|To|U_Class
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Restored|Through|U_Class
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2019-03-07
1-1	1-2	¶	_	_	_	_	_	_	_	_	_	_	_	*[4]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2019	_	_	2019-W10-4[3]	_	_	_	_	_	_	_	_	*[4]	*[12]	*[12]	*[12]	*[12]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	_	_	2019-W10-4[3]	_	_	_	_	_	_	_	_	*[4]	*[12]	*[12]	*[12]	*[12]	_	_	_	_	_	_	_	_	_	
1-4	7-9	03	_	_	2019-W10-4[3]	_	_	_	_	_	_	_	_	*[4]	*[12]	*[12]	*[12]	*[12]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	_	_	2019-W10-4[3]	_	_	_	_	_	_	_	_	*[4]	*[12]	*[12]	*[12]	*[12]	_	_	_	_	_	_	_	_	_	
1-6	10-12	07	_	_	2019-W10-4[3]	_	_	_	_	_	_	_	_	*[4]	*[12]	*[12]	*[12]	*[12]	_	_	_	_	_	_	_	_	_	

#Text=¶Компания, которая вела дела Игнатьева, прекратила с ним сотрудничество более месяца назад
2-1	16-17	¶	_	_	_	_	_	_	_	_	_	_	_	*[5]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-25	Компания	_	_	_	_	_	_	_	_	_	_	_	*[5]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	25-26	,	_	_	_	_	_	_	_	_	_	_	_	*[5]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	27-34	которая	_	_	_	_	_	_	_	_	_	_	_	*[5]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	35-39	вела	_	_	_	_	_	_	_	_	_	_	_	*[5]	_	_	_	_	_	_	_	_	_	_	_	_	_	
