#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Anchored|To|U_Class
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2019-02-20
1-1	1-2	¶	_	_	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
1-2	2-6	2019	_	_	2019-W08-3[1]	_	_	_	_	_	_	_	*[5]	*[14]	Date[27]	*[27]	Day[27]	*[27]	
1-3	6-7	-	_	_	2019-W08-3[1]	_	_	_	_	_	_	_	*[5]	*[14]	Date[27]	*[27]	Day[27]	*[27]	
1-4	7-9	02	_	_	2019-W08-3[1]	_	_	_	_	_	_	_	*[5]	*[14]	Date[27]	*[27]	Day[27]	*[27]	
1-5	9-10	-	_	_	2019-W08-3[1]	_	_	_	_	_	_	_	*[5]	*[14]	Date[27]	*[27]	Day[27]	*[27]	
1-6	10-12	20	_	_	2019-W08-3[1]	_	_	_	_	_	_	_	*[5]	*[14]	Date[27]	*[27]	Day[27]	*[27]	

#Text=¶Путин высказался о мусорной реформе
2-1	16-17	¶	_	_	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
2-2	17-22	Путин	_	_	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
2-3	23-33	высказался	_	_	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
2-4	34-35	о	_	_	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
2-5	36-44	мусорной	_	_	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
2-6	45-52	реформе	_	_	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	

#Text=¶И призвал избавиться от "мутных структур".
3-1	56-57	¶	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
3-2	57-58	И	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
3-3	59-66	призвал	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
3-4	67-77	избавиться	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
3-5	78-80	от	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
3-6	81-82	"	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
3-7	82-88	мутных	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
3-8	89-97	структур	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
3-9	97-98	"	_	_	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
