#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2018-10-11
1-1	1-2	¶	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	
1-2	2-6	2018	2018-W41-4[1]	_	_	_	_	_	_	*[4]	*[17]	Date[39]	*[39]	Day[39]	2018-10-11[39]	
1-3	6-7	-	2018-W41-4[1]	_	_	_	_	_	_	*[4]	*[17]	Date[39]	*[39]	Day[39]	2018-10-11[39]	
1-4	7-9	10	2018-W41-4[1]	_	_	_	_	_	_	*[4]	*[17]	Date[39]	*[39]	Day[39]	2018-10-11[39]	
1-5	9-10	-	2018-W41-4[1]	_	_	_	_	_	_	*[4]	*[17]	Date[39]	*[39]	Day[39]	2018-10-11[39]	
1-6	10-12	11	2018-W41-4[1]	_	_	_	_	_	_	*[4]	*[17]	Date[39]	*[39]	Day[39]	2018-10-11[39]	

#Text=¶Истребители НАТО на Украине испытали С-300
2-1	16-17	¶	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	
2-2	17-28	Истребители	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	
2-3	29-33	НАТО	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	
2-4	34-36	на	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	
2-5	37-44	Украине	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	
2-6	45-53	испытали	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	
2-7	54-55	С	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	
2-8	55-56	-	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	
2-9	56-59	300	_	_	_	_	_	_	_	*[5]	*[18]	_	_	_	_	

#Text=¶Совместная делегация США и Израиля тайно посещала Украину, где ознакомилась с несколькими образцами наиболее важных вооружений, включая ракеты комплексов противовоздушной обороны С-300.
3-1	63-64	¶	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-2	64-74	Совместная	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-3	75-84	делегация	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-4	85-88	США	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-5	89-90	и	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-6	91-98	Израиля	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-7	99-104	тайно	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-8	105-113	посещала	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-9	114-121	Украину	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-10	121-122	,	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-11	123-126	где	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-12	127-139	ознакомилась	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-13	140-141	с	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-14	142-153	несколькими	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-15	154-163	образцами	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-16	164-172	наиболее	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-17	173-179	важных	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-18	180-190	вооружений	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-19	190-191	,	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-20	192-199	включая	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-21	200-206	ракеты	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-22	207-217	комплексов	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-23	218-234	противовоздушной	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-24	235-242	обороны	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-25	243-244	С	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-26	244-245	-	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-27	245-248	300	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	
3-28	248-249	.	_	_	_	_	_	_	_	*[6]	*[19]	_	_	_	_	

#Text=Об этом говорится в публикации вьетнамского портале Soha News.
4-1	250-252	Об	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-2	253-257	этом	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-3	258-267	говорится	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-4	268-269	в	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-5	270-280	публикации	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-6	281-293	вьетнамского	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-7	294-301	портале	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-8	302-306	Soha	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-9	307-311	News	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	
4-10	311-312	.	_	_	_	_	_	_	_	*[6]	*[20]	_	_	_	_	

#Text=¶По данным издания, украинские специалисты рассказали членам делегации о тактико-технических характеристиках имеющихся в распоряжении страны С-300 и предложили отправить на Украину американские и израильские истребители, которые бы в ходе учений оценили возможности системы.
5-1	316-317	¶	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-2	317-319	По	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-3	320-326	данным	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-4	327-334	издания	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-5	334-335	,	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-6	336-346	украинские	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-7	347-358	специалисты	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-8	359-369	рассказали	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-9	370-376	членам	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-10	377-386	делегации	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-11	387-388	о	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-12	389-408	тактико-технических	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-13	409-424	характеристиках	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-14	425-434	имеющихся	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-15	435-436	в	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-16	437-449	распоряжении	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-17	450-456	страны	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-18	457-458	С	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-19	458-459	-	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-20	459-462	300	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-21	463-464	и	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-22	465-475	предложили	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-23	476-485	отправить	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-24	486-488	на	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-25	489-496	Украину	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-26	497-509	американские	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-27	510-511	и	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-28	512-523	израильские	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-29	524-535	истребители	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-30	535-536	,	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-31	537-544	которые	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-32	545-547	бы	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-33	548-549	в	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-34	550-554	ходе	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-35	555-561	учений	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-36	562-569	оценили	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-37	570-581	возможности	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-38	582-589	системы	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	
5-39	589-590	.	_	_	_	_	_	_	_	*[7]	*[21]	_	_	_	_	

#Text=¶Реагируя на угрозу российских ПВО в Сирии, США отправили для участия в учениях на Украине 18 истребителей четвертого поколения F-15C Eagle, а Израиль — несколько летчиков, которые, воспользовавшись американскими самолетами, получили возможность испытать С-300.
6-1	594-595	¶	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-2	595-603	Реагируя	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-3	604-606	на	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-4	607-613	угрозу	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-5	614-624	российских	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-6	625-628	ПВО	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-7	629-630	в	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-8	631-636	Сирии	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-9	636-637	,	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-10	638-641	США	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-11	642-651	отправили	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-12	652-655	для	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-13	656-663	участия	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-14	664-665	в	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-15	666-673	учениях	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-16	674-676	на	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-17	677-684	Украине	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-18	685-687	18	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-19	688-700	истребителей	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-20	701-711	четвертого	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-21	712-721	поколения	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-22	722-723	F	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
6-23	723-724	-	_	_	_	_	_	_	_	*[8]	*[22]	_	_	_	_	
