#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2016-05-13
1-1	0-1	¶	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	
1-2	1-5	2016	2016-W19-5[1]	_	_	_	_	_	_	*[3]	*[8]	Date[16]	*[16]	Day[16]	2016-05-13[16]	
1-3	5-6	-	2016-W19-5[1]	_	_	_	_	_	_	*[3]	*[8]	Date[16]	*[16]	Day[16]	2016-05-13[16]	
1-4	6-8	05	2016-W19-5[1]	_	_	_	_	_	_	*[3]	*[8]	Date[16]	*[16]	Day[16]	2016-05-13[16]	
1-5	8-9	-	2016-W19-5[1]	_	_	_	_	_	_	*[3]	*[8]	Date[16]	*[16]	Day[16]	2016-05-13[16]	
1-6	9-11	13	2016-W19-5[1]	_	_	_	_	_	_	*[3]	*[8]	Date[16]	*[16]	Day[16]	2016-05-13[16]	

#Text=¶Правительство Севастополя планирует 25 июля подписать в Москве соглашение о получении дополнительной субсидии из федерального бюджета на ремонт автодорог.
2-1	12-13	¶	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-2	13-26	Правительство	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-3	27-38	Севастополя	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-4	39-48	планирует	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-5	49-51	25	_	*	Day	-	-	25	*	*[4]	*[9]	Date[17]	*[17]	Day[17]	2016-07-25[17]	
2-6	52-56	июля	_	*	MonthName	DA	4	07	*	*[4]	*[9]	Date[17]	*[17]	Day[17]	2016-07-25[17]	
2-7	57-66	подписать	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-8	67-68	в	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-9	69-75	Москве	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-10	76-86	соглашение	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-11	87-88	о	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-12	89-98	получении	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-13	99-113	дополнительной	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-14	114-122	субсидии	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-15	123-125	из	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-16	126-138	федерального	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-17	139-146	бюджета	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-18	147-149	на	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-19	150-156	ремонт	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-20	157-166	автодорог	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	
2-21	166-167	.	_	_	_	_	_	_	_	*[4]	*[9]	_	_	_	_	

#Text=Губернатор города Сергей Меняйло распорядился подготовить реестр всех объектов, на которых запланирован ремонт.
3-1	168-178	Губернатор	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-2	179-185	города	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-3	186-192	Сергей	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-4	193-200	Меняйло	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-5	201-213	распорядился	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-6	214-225	подготовить	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-7	226-232	реестр	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-8	233-237	всех	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-9	238-246	объектов	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-10	246-247	,	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-11	248-250	на	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-12	251-258	которых	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-13	259-271	запланирован	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-14	272-278	ремонт	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
3-15	278-279	.	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	

#Text=¶“Подготовьте реестр объектов, которые предусмотрены нашим бюджетом, и тех, на которые пойдут субсидии из федерального, которые мы дополнительно попросили.
4-1	280-281	¶	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
4-2	281-282	“	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
4-3	282-293	Подготовьте	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
4-4	294-300	реестр	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
4-5	301-309	объектов	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
