#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2012-09-10
1-1	1-2	¶	_	_	_	_	_	_	_	*[3]	*[17]	_	_	_	_	
1-2	2-6	2012	2012-W37-1[1]	_	_	_	_	_	_	*[3]	*[17]	Date[38]	*[38]	Day[38]	2012-09-10[38]	
1-3	6-7	-	2012-W37-1[1]	_	_	_	_	_	_	*[3]	*[17]	Date[38]	*[38]	Day[38]	2012-09-10[38]	
1-4	7-9	09	2012-W37-1[1]	_	_	_	_	_	_	*[3]	*[17]	Date[38]	*[38]	Day[38]	2012-09-10[38]	
1-5	9-10	-	2012-W37-1[1]	_	_	_	_	_	_	*[3]	*[17]	Date[38]	*[38]	Day[38]	2012-09-10[38]	
1-6	10-12	10	2012-W37-1[1]	_	_	_	_	_	_	*[3]	*[17]	Date[38]	*[38]	Day[38]	2012-09-10[38]	

#Text=¶Приговоренный к смерти вице-президент Ирака не признает приговор
2-1	16-17	¶	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	
2-2	17-30	Приговоренный	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	
2-3	31-32	к	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	
2-4	33-39	смерти	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	
2-5	40-54	вице-президент	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	
2-6	55-60	Ирака	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	
2-7	61-63	не	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	
2-8	64-72	признает	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	
2-9	73-81	приговор	_	_	_	_	_	_	_	*[4]	*[18]	_	_	_	_	

#Text=¶Вице-президент Ирака Тарик аль-Хашими, заочно приговоренный в воскресенье иракским судом к смертной казни по обвинению в причастности к террористической деятельности, назвал приговор "незаконным" и отверг выдвинутые в его адрес обвинения.
3-1	85-86	¶	_	_	_	_	_	_	_	*[5]	*[19]	_	_	_	_	
3-2	86-100	Вице-президент	_	_	_	_	_	_	_	*[5]	*[19]	_	_	_	_	
3-3	101-106	Ирака	_	_	_	_	_	_	_	*[5]	*[19]	_	_	_	_	
3-4	107-112	Тарик	_	_	_	_	_	_	_	*[5]	*[19]	_	_	_	_	
3-5	113-123	аль-Хашими	_	_	_	_	_	_	_	*[5]	*[19]	_	_	_	_	
